user_id,amount,location,is_fraud
875,313.0462697365197,IN,0
238,44.67316856498617,US,0
608,454.3379097942999,US,0
935,174.50634686866607,IN,0
244,209.13005113164937,US,0
479,222.87812502567562,UK,0
227,285.2497378519523,IN,0
86,400.0539112016177,US,0
903,267.5518615771899,UK,0
654,460.8144359954582,IN,0
721,525.0736260043979,IN,0
936,35.176091817602945,IN,0
29,109.77105198592437,UK,0
604,414.1002297587806,IN,0
587,134.85056788063076,US,0
799,142.4815730171768,IN,0
361,373.3606226939221,UK,0
73,418.7325487415103,IN,0
592,262.4474295952766,IN,0
867,256.71306100879076,UK,0
470,161.148026817855,UK,0
54,126.75443005658647,US,0
939,426.7114491475122,US,0
531,265.78855264343883,UK,0
905,389.6512723026349,UK,0
764,157.73135464097922,UK,0
529,91.44141067665188,IN,0
43,217.308956369359,US,0
49,303.9015685441614,IN,0
949,175.58540941901026,UK,0
764,118.94713181707101,UK,0
16,431.7773746199761,US,0
37,210.48818720388584,IN,0
895,2744.0670193991946,UK,1
396,348.42018689724847,IN,0
525,296.22858369548294,US,0
77,310.4548081588107,US,0
763,401.4594730161145,IN,0
416,183.78468455937116,IN,0
887,203.95397438649042,UK,0
416,291.5416110478484,IN,0
242,116.55529700961104,US,0
313,546.285881288355,UK,0
970,227.79940540213548,US,0
208,425.7945096939063,US,0
667,147.49137231386993,UK,0
925,270.04620132600263,IN,0
548,129.34726886183003,US,0
777,409.1493299095894,UK,0
478,35.79566680554663,IN,0
984,73.57424710883208,IN,0
53,241.16490437462565,US,0
53,251.79543709477426,US,0
134,340.14196937068846,US,0
916,448.8197916598397,IN,0
149,72.24618559460869,IN,0
516,88.18507205824864,IN,0
353,169.25040753704636,RU,1
285,405.5572995081922,US,0
891,118.63909567681632,UK,0
197,500.20194411426485,IN,0
622,334.6696762848873,UK,0
356,347.8868500050263,IN,0
977,201.1414648611897,US,0
53,228.50557359135271,US,0
753,336.89856400642,UK,0
321,153.5962117954072,IN,0
69,544.7447097458938,US,0
81,342.98195746318936,UK,0
247,237.2821032297585,IN,0
44,223.55192709728328,US,0
204,192.8085819797122,IN,0
664,429.55666253848193,IN,0
385,243.1582688320167,US,0
231,433.3744576072721,UK,0
437,159.11888878011786,US,0
846,222.27950490887363,US,0
397,119.23256131289574,IN,0
352,516.7037732670428,IN,0
855,586.0976691460312,IN,0
223,276.2680110930333,US,0
229,9.603747059534946,IN,0
55,92.19420871664974,UK,0
356,338.8385672129741,IN,0
548,221.7700024165166,US,0
47,454.3134433020065,IN,0
379,441.28311855219164,IN,0
90,204.6122894175157,US,0
175,520.820199857045,UK,0
851,301.0314532626906,US,0
428,352.56488311573565,US,0
96,418.5176760637395,UK,0
238,173.45295952956604,US,1
248,2569.5209105929366,US,1
204,266.62252115394614,IN,0
837,5.279352093855003,UK,0
810,143.91382075709285,UK,0
371,383.31553467222176,IN,0
994,173.08349714719748,CN,1
377,549.6163093832463,US,0
922,219.6373330707628,IN,0
34,526.0308699141959,UK,0
591,407.3888399717418,IN,0
267,278.3898556915877,US,0
146,459.6564725869755,UK,0
552,303.38671114748814,US,0
696,270.1015304123563,US,0
320,294.23820303463,US,0
513,87.71303119073713,UK,0
45,468.864194809267,UK,0
139,542.6372708263895,IN,0
869,332.1603784730125,US,0
910,322.06783273635114,US,0
397,102.63694524811075,IN,0
408,147.71931552240684,UK,0
973,251.42330702093037,IN,0
938,402.85139763795655,US,0
307,215.20714790984067,IN,0
586,378.5278742601968,IN,0
201,165.44774692102814,UK,0
756,382.63151892127064,IN,0
743,63.87212640139674,UK,0
835,301.6441428104522,US,0
393,348.92389624750484,UK,0
135,294.02345803708516,IN,0
818,277.2078495775987,IN,0
146,510.71977266021247,UK,0
433,344.470560704592,UK,0
53,134.15977614345147,US,0
987,64.02681485223938,UK,0
862,227.09981286763636,UK,0
268,144.03767300962608,UK,0
366,69.4931499940351,IN,0
447,311.1864121493345,US,0
234,172.17185317298208,UK,0
352,491.8311834265911,IN,0
59,446.00552517511795,IN,0
841,226.10596608901128,US,0
337,112.04832091836028,US,0
479,220.4510786781751,UK,0
344,235.62582314033347,IN,0
242,74.27147544826732,US,0
876,459.30947993044185,IN,0
399,194.33543321513133,IN,0
417,283.9346758316231,US,0
82,518.4261797935736,IN,0
87,65.32164662976018,IN,0
38,151.68390173130032,UK,0
122,443.94452454791025,IN,0
807,509.2398275603593,US,0
237,310.4155154351931,UK,0
561,362.68226030465894,UK,0
167,107.12639367985402,UK,0
451,294.7886161524264,IN,0
286,433.86853680403306,US,0
545,145.53350310896832,UK,0
112,224.48083002139043,CN,1
936,132.7934448681053,IN,0
606,106.83164580709219,UK,0
807,393.1547944203372,US,0
887,195.1295109431873,UK,0
459,294.62013270364594,IN,0
315,315.25173313208154,US,0
381,277.32502821060433,US,0
919,434.3006666085576,US,0
531,390.00262477894853,RU,1
925,346.40817491167115,IN,0
560,262.3317838719601,US,0
627,439.34170077932146,US,0
305,409.9686611628212,US,0
604,395.00423372315356,IN,0
458,473.24947275758694,US,0
451,316.98854070306186,IN,0
490,116.57841187756883,US,0
803,83.42297583721457,US,0
695,479.8605392603182,UK,0
207,484.010304860755,IN,0
599,42.264951959108124,IN,0
595,436.10872452309405,US,0
432,408.23553790783524,UK,0
486,260.898974128962,US,0
424,427.77990116329147,RU,1
836,272.83262574141327,US,0
590,421.7556017464416,UK,0
812,445.2749638896986,IN,0
138,68.32848181733614,UK,0
983,525.6434882641485,US,0
498,344.4786796499229,US,0
769,242.42071699925543,UK,0
473,379.73244436179993,US,0
27,352.05777256046974,US,0
928,60.7808693177717,US,0
437,102.546109709048,US,0
359,106.63294996734194,IN,0
313,431.0578934007236,UK,0
90,181.7094692374693,US,0
118,287.6903388976208,US,0
204,232.62460477927246,IN,0
923,187.10052365775226,US,0
656,489.5757039131998,US,0
882,176.45174923152538,UK,0
586,266.7696437729471,IN,0
480,302.68174857662933,US,0
614,362.15525474478335,UK,0
769,215.48102270680837,UK,0
114,66.28650592823571,IN,0
816,124.78752967668888,IN,0
96,482.86391084535643,UK,0
19,308.94540046293514,IN,0
75,121.64401817000541,IN,0
182,298.0693855380324,IN,0
291,1455.0369892916951,US,1
116,138.0620888875167,US,0
247,242.82415328212608,IN,0
934,136.18093511485316,UK,0
977,273.4803207035138,US,0
483,89.60137114885643,IN,0
772,277.63200154592033,UK,0
170,396.2524481127808,US,0
447,339.8486465794246,US,0
696,232.44656001991126,US,0
672,421.6923010414237,US,0
391,289.0650244915386,UK,0
437,93.22580380810206,US,0
505,61.59894037283511,UK,0
337,59.257533774842805,US,0
28,283.128164242292,US,0
699,194.99359676008538,IN,0
95,484.04918632347466,US,0
740,310.1412023332082,US,0
712,234.7725324660489,US,0
69,488.8149479881493,US,0
786,195.64844245827908,IN,0
567,214.18255624207984,IN,0
347,132.79181587176996,US,0
526,284.4703969527992,UK,0
267,303.8513716946302,US,0
152,328.69486525271276,US,0
497,98.82859496421665,IN,0
741,49.410367917913575,IN,0
416,201.1933289342706,IN,0
485,468.6651540743559,UK,0
862,270.67191518698326,UK,0
510,22.92354031563992,BR,1
920,505.52767301996954,IN,0
440,498.14638375389416,UK,0
613,396.80833521119325,US,0
818,140.19660314139895,IN,0
437,137.09523617807383,US,0
558,276.007719613658,IN,0
865,424.45111153932595,UK,0
803,11.5210346891471,US,0
169,170.27839840182557,UK,0
576,224.40375171093427,UK,0
669,178.14440461796735,IN,0
766,105.61434494153272,IN,0
771,354.1755277251426,IN,0
36,363.22704285744123,IN,0
791,197.7519553454932,US,0
348,359.6994875799778,US,0
99,389.2521723592506,US,0
839,44.675976652323044,IN,0
822,113.04806262218216,US,0
563,380.0779350738292,IN,0
675,245.93995691028334,UK,0
21,176.1039801645199,US,0
927,413.84658485829425,IN,0
479,316.2769057289602,UK,0
155,403.8799540514483,UK,0
678,355.0338543297048,UK,0
464,429.376061792833,US,0
585,344.90196029797454,UK,0
230,251.44099170031797,IN,0
669,1955.5835420940975,IN,1
95,4415.837288532185,US,1
817,235.56960324354299,US,0
217,93.46049885804342,UK,0
918,48.83379863663299,IN,0
579,220.48732718049217,IN,0
418,334.2421234092397,IN,0
633,102.47256557048983,UK,0
726,306.46140276241783,US,0
738,176.67465134468512,UK,0
228,419.79956227072705,US,0
341,160.6443568655242,IN,0
66,108.54177115515401,US,0
912,376.0125087465169,US,0
629,467.42792746002027,UK,0
750,211.59536103126774,US,0
111,14.463874419446924,IN,0
215,472.92290389823404,US,0
73,366.60162682806987,IN,0
813,269.19260625288564,US,0
639,277.8446927638081,IN,0
736,285.84997403345096,US,0
433,320.03078778116253,UK,0
689,76.33577058003382,US,0
593,446.49094824398225,US,0
199,188.0993874800169,IN,0
302,199.1526898721407,UK,0
940,289.53679189817325,UK,0
534,304.6391119227144,US,0
693,433.0359864804095,IN,0
370,136.9198487912583,UK,0
133,353.18875504375205,US,0
197,518.2487167445305,IN,0
358,410.63506994247257,IN,0
999,374.1545398824058,RU,1
980,397.692119581986,IN,0
159,416.0810783805197,IN,0
369,205.3861048259271,UK,0
100,141.19180004417785,UK,0
95,430.780524973901,US,0
174,440.915600910249,IN,0
173,158.20932052858586,UK,0
904,144.701624320503,UK,0
160,3121.479974623498,UK,1
751,171.6380132061877,UK,0
361,372.1933658389604,UK,0
17,345.12950245809014,US,0
411,276.0084922007027,IN,0
574,436.55290031442763,UK,0
16,389.97280470375597,US,0
751,172.2725048500415,UK,0
581,338.47027556002485,IN,0
151,4960.3825250526315,UK,1
474,287.363934938489,IN,0
374,285.576269570618,UK,0
940,216.85139763501496,UK,0
171,376.07914079762133,US,0
284,104.61153371727087,IN,0
786,188.35719886068074,IN,0
980,418.0245055885659,IN,0
200,339.15620339025,US,0
747,283.4746932983162,IN,0
523,108.2997733133227,US,0
868,264.9266067911615,US,0
525,284.508246425899,US,0
981,250.6608673519135,UK,0
465,500.7260209835957,US,0
808,85.61210681700177,IN,0
732,212.24175044127733,US,0
749,386.2545741632105,US,0
745,288.9383943460177,UK,0
240,196.03167381771564,US,0
539,215.3757493274686,IN,0
916,482.170280827351,IN,0
48,563.4491164768681,US,0
130,97.54317508330001,US,0
846,151.65502389827958,US,0
377,518.0765483818707,US,0
263,248.6882948873634,IN,0
616,280.2707932799579,UK,0
517,339.3952255672234,IN,0
216,54.08486444134732,IN,0
534,268.0841723364379,US,0
204,170.5443524080645,IN,0
994,68.60126690781186,US,0
230,237.33565432828792,IN,0
611,168.44700432263392,IN,0
5,215.1876896542089,UK,0
365,128.8865371105702,IN,0
262,397.9359313873026,UK,0
101,343.9379314680762,US,0
914,275.10983412303716,US,0
773,114.35283418050037,US,0
787,545.329782351858,UK,0
672,443.8757204746083,US,0
204,266.7618039977103,IN,0
124,393.36800110915493,US,0
927,348.4012179480463,IN,0
188,490.0672713216392,US,0
608,323.65832851674736,US,0
996,386.06787364066014,UK,0
360,287.81436273324954,IN,0
276,275.2917349290172,UK,0
570,567.301087208164,IN,0
841,246.1503202207781,US,0
768,18.35940853485529,US,0
